UNCOMPRESSED BACKUP
Started on 2016-03-21 at 16:28:10
SOURCE:     C:\01_Luca\11_Ordine_degli_Ingegneri_Milano
DESTINATION:    \\BBOX\Volume\01_Luca\11_Ordine_degli_Ingegneri_Milano

16:28:21 - Copied FILE:    <open file 'C:\\01_Luca\\09_Projects\\01_WD\\Tools\\python\\2016-03-21_16-28-10_backup.log', mode 'a' at 0x000000000417B8A0> to //BBOX/Volume/01_Luca/11_Ordine_degli_Ingegneri_Milano
16:28:22 - Copied FILE:    <open file 'C:\\01_Luca\\09_Projects\\01_WD\\Tools\\python\\2016-03-21_16-28-10_backup.log', mode 'a' at 0x000000000417BB70> to //BBOX/Volume/01_Luca/11_Ordine_degli_Ingegneri_Milano/Gestione_fiscale_contabile
16:28:23 - Copied FILE:    <open file 'C:\\01_Luca\\09_Projects\\01_WD\\Tools\\python\\2016-03-21_16-28-10_backup.log', mode 'a' at 0x000000000417BB70> to //BBOX/Volume/01_Luca/11_Ordine_degli_Ingegneri_Milano/Gestione_fiscale_contabile
16:28:25 - Copied FILE:    <open file 'C:\\01_Luca\\09_Projects\\01_WD\\Tools\\python\\2016-03-21_16-28-10_backup.log', mode 'a' at 0x000000000417B810> to //BBOX/Volume/01_Luca/11_Ordine_degli_Ingegneri_Milano/Gestione_fiscale_contabile
16:28:26 - Copied FILE:    <open file 'C:\\01_Luca\\09_Projects\\01_WD\\Tools\\python\\2016-03-21_16-28-10_backup.log', mode 'a' at 0x000000000417BB70> to //BBOX/Volume/01_Luca/11_Ordine_degli_Ingegneri_Milano/Gestione_fiscale_contabile
16:28:26 - Copied FILE:    <open file 'C:\\01_Luca\\09_Projects\\01_WD\\Tools\\python\\2016-03-21_16-28-10_backup.log', mode 'a' at 0x000000000417BAE0> to //BBOX/Volume/01_Luca/11_Ordine_degli_Ingegneri_Milano/Gestione_fiscale_contabile
16:28:33 - Copied FILE:    <open file 'C:\\01_Luca\\09_Projects\\01_WD\\Tools\\python\\2016-03-21_16-28-10_backup.log', mode 'a' at 0x000000000417BAE0> to //BBOX/Volume/01_Luca/11_Ordine_degli_Ingegneri_Milano/Gestione_fiscale_contabile
16:28:33 - Copied FILE:    <open file 'C:\\01_Luca\\09_Projects\\01_WD\\Tools\\python\\2016-03-21_16-28-10_backup.log', mode 'a' at 0x000000000417BB70> to //BBOX/Volume/01_Luca/11_Ordine_degli_Ingegneri_Milano/Gestione_fiscale_contabile
16:28:34 - Copied FILE:    <open file 'C:\\01_Luca\\09_Projects\\01_WD\\Tools\\python\\2016-03-21_16-28-10_backup.log', mode 'a' at 0x000000000417B8A0> to //BBOX/Volume/01_Luca/11_Ordine_degli_Ingegneri_Milano/Gestione_fiscale_contabile
16:28:34 - Created FOLDER:    \\BBOX\Volume\01_Luca\11_Ordine_degli_Ingegneri_Milano\Norme_tecniche
16:28:34 - Copied FILE:    <open file 'C:\\01_Luca\\09_Projects\\01_WD\\Tools\\python\\2016-03-21_16-28-10_backup.log', mode 'a' at 0x000000000417BAE0> to //BBOX/Volume/01_Luca/11_Ordine_degli_Ingegneri_Milano/Norme_tecniche
16:28:34 - Copied FILE:    <open file 'C:\\01_Luca\\09_Projects\\01_WD\\Tools\\python\\2016-03-21_16-28-10_backup.log', mode 'a' at 0x000000000417BB70> to //BBOX/Volume/01_Luca/11_Ordine_degli_Ingegneri_Milano/Norme_tecniche
16:28:34 - Copied FILE:    <open file 'C:\\01_Luca\\09_Projects\\01_WD\\Tools\\python\\2016-03-21_16-28-10_backup.log', mode 'a' at 0x000000000417BAE0> to //BBOX/Volume/01_Luca/11_Ordine_degli_Ingegneri_Milano/Norme_tecniche
16:28:35 - Copied FILE:    <open file 'C:\\01_Luca\\09_Projects\\01_WD\\Tools\\python\\2016-03-21_16-28-10_backup.log', mode 'a' at 0x000000000417BB70> to //BBOX/Volume/01_Luca/11_Ordine_degli_Ingegneri_Milano/Norme_tecniche
16:28:35 - Copied FILE:    <open file 'C:\\01_Luca\\09_Projects\\01_WD\\Tools\\python\\2016-03-21_16-28-10_backup.log', mode 'a' at 0x000000000417BAE0> to //BBOX/Volume/01_Luca/11_Ordine_degli_Ingegneri_Milano/Norme_tecniche
16:28:35 - Copied FILE:    <open file 'C:\\01_Luca\\09_Projects\\01_WD\\Tools\\python\\2016-03-21_16-28-10_backup.log', mode 'a' at 0x000000000417BB70> to //BBOX/Volume/01_Luca/11_Ordine_degli_Ingegneri_Milano/Norme_tecniche
16:28:36 - Copied FILE:    <open file 'C:\\01_Luca\\09_Projects\\01_WD\\Tools\\python\\2016-03-21_16-28-10_backup.log', mode 'a' at 0x000000000417BAE0> to //BBOX/Volume/01_Luca/11_Ordine_degli_Ingegneri_Milano/Norme_tecniche
16:28:37 - Copied FILE:    <open file 'C:\\01_Luca\\09_Projects\\01_WD\\Tools\\python\\2016-03-21_16-28-10_backup.log', mode 'a' at 0x000000000417BB70> to //BBOX/Volume/01_Luca/11_Ordine_degli_Ingegneri_Milano/Norme_tecniche
16:28:37 - Copied FILE:    <open file 'C:\\01_Luca\\09_Projects\\01_WD\\Tools\\python\\2016-03-21_16-28-10_backup.log', mode 'a' at 0x000000000417BAE0> to //BBOX/Volume/01_Luca/11_Ordine_degli_Ingegneri_Milano/Norme_tecniche
16:28:37 - Copied FILE:    <open file 'C:\\01_Luca\\09_Projects\\01_WD\\Tools\\python\\2016-03-21_16-28-10_backup.log', mode 'a' at 0x000000000417BB70> to //BBOX/Volume/01_Luca/11_Ordine_degli_Ingegneri_Milano/Norme_tecniche
16:28:37 - Copied FILE:    <open file 'C:\\01_Luca\\09_Projects\\01_WD\\Tools\\python\\2016-03-21_16-28-10_backup.log', mode 'a' at 0x000000000417BAE0> to //BBOX/Volume/01_Luca/11_Ordine_degli_Ingegneri_Milano/Norme_tecniche
16:28:39 - Copied FILE:    <open file 'C:\\01_Luca\\09_Projects\\01_WD\\Tools\\python\\2016-03-21_16-28-10_backup.log', mode 'a' at 0x000000000417BB70> to //BBOX/Volume/01_Luca/11_Ordine_degli_Ingegneri_Milano/Norme_tecniche
16:28:41 - Copied FILE:    <open file 'C:\\01_Luca\\09_Projects\\01_WD\\Tools\\python\\2016-03-21_16-28-10_backup.log', mode 'a' at 0x000000000417B810> to //BBOX/Volume/01_Luca/11_Ordine_degli_Ingegneri_Milano/Norme_tecniche
16:28:42 - Copied FILE:    <open file 'C:\\01_Luca\\09_Projects\\01_WD\\Tools\\python\\2016-03-21_16-28-10_backup.log', mode 'a' at 0x000000000417B810> to //BBOX/Volume/01_Luca/11_Ordine_degli_Ingegneri_Milano/Norme_tecniche
16:28:42 - Copied FILE:    <open file 'C:\\01_Luca\\09_Projects\\01_WD\\Tools\\python\\2016-03-21_16-28-10_backup.log', mode 'a' at 0x000000000417BB70> to //BBOX/Volume/01_Luca/11_Ordine_degli_Ingegneri_Milano/Norme_tecniche
16:28:43 - Copied FILE:    <open file 'C:\\01_Luca\\09_Projects\\01_WD\\Tools\\python\\2016-03-21_16-28-10_backup.log', mode 'a' at 0x000000000417B810> to //BBOX/Volume/01_Luca/11_Ordine_degli_Ingegneri_Milano/Norme_tecniche
16:28:43 - Copied FILE:    <open file 'C:\\01_Luca\\09_Projects\\01_WD\\Tools\\python\\2016-03-21_16-28-10_backup.log', mode 'a' at 0x000000000417BAE0> to //BBOX/Volume/01_Luca/11_Ordine_degli_Ingegneri_Milano/Norme_tecniche
16:28:44 - Copied FILE:    <open file 'C:\\01_Luca\\09_Projects\\01_WD\\Tools\\python\\2016-03-21_16-28-10_backup.log', mode 'a' at 0x000000000417BAE0> to //BBOX/Volume/01_Luca/11_Ordine_degli_Ingegneri_Milano/Norme_tecniche
16:28:44 - Copied FILE:    <open file 'C:\\01_Luca\\09_Projects\\01_WD\\Tools\\python\\2016-03-21_16-28-10_backup.log', mode 'a' at 0x000000000417B810> to //BBOX/Volume/01_Luca/11_Ordine_degli_Ingegneri_Milano/Norme_tecniche
16:28:45 - Removed FILE:    <open file 'C:\\01_Luca\\09_Projects\\01_WD\\Tools\\python\\2016-03-21_16-28-10_backup.log', mode 'a' at 0x000000000417B810> from //BBOX/Volume/01_Luca/11_Ordine_degli_Ingegneri_Milano
16:28:45 - Removed FILE:    <open file 'C:\\01_Luca\\09_Projects\\01_WD\\Tools\\python\\2016-03-21_16-28-10_backup.log', mode 'a' at 0x000000000417B810> from //BBOX/Volume/01_Luca/11_Ordine_degli_Ingegneri_Milano
16:28:47 - Removed FILE:    <open file 'C:\\01_Luca\\09_Projects\\01_WD\\Tools\\python\\2016-03-21_16-28-10_backup.log', mode 'a' at 0x000000000417B810> from //BBOX/Volume/01_Luca/11_Ordine_degli_Ingegneri_Milano/Gestione_fiscale_contabile
16:28:47 - Removed FILE:    <open file 'C:\\01_Luca\\09_Projects\\01_WD\\Tools\\python\\2016-03-21_16-28-10_backup.log', mode 'a' at 0x000000000417BAE0> from //BBOX/Volume/01_Luca/11_Ordine_degli_Ingegneri_Milano/Gestione_fiscale_contabile
16:28:53 - Removed FOLDER:    \\BBOX\Volume\01_Luca\11_Ordine_degli_Ingegneri_Milano\Norme_tecniche_fuffole
